season,name,retailer,category,shade,price,salePrice,url,confidence,img,dateAdded
warmAutumn,Love & Roses Lace Insert Flutter Sleeve Top,next,top,rust,238 RON,,https://www.next.ro/en/style/su981808/g73321,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G73321s.jpg,2024-12-29
softAutumn,Love & Roses Smock Top,next,top,marsala,194 RON,,https://www.next.ro/en/style/su981791/g73313,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G73313s.jpg,2024-12-30
brightWinter,Love & Roses Bib Detail Shell Top,next,top,emeraldgreen,283 RON,,https://www.next.ro/en/style/su903238/g12349,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G12349s.jpg,2024-12-30
warmAutumn,Friends Like These Draped Off The Shoulder Top,next,top,rust,238 RON,,https://www.next.ro/en/style/su721640/v18699,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V18699s.jpg,2024-12-30
deepAutumn,Love & Roses Embellished Sequin Vest,next,top,bronze,216 RON,,https://www.next.ro/en/style/sv018841/v59723,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V59723s.jpg,2024-12-30
lightSpring,Love & Roses Lace Blouse,next,top,periwinkle,290 RON,,https://www.next.ro/en/style/su900124/g11497,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G11497s.jpg,2024-12-31
deepWinter,Love & Roses Floral Embroidered Blouse,next,top,sapphireblue,313 RON,,https://www.next.ro/en/style/su885068/v18957,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V18957s.jpg,2024-12-31
warmSpring,Love & Roses Embellished Beaded Tank,next,top,turquoise,238 RON,,https://www.next.ro/en/style/su968103/g66043,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G66043s.jpg,2024-12-31
brightSpring,Love & Roses Lace Detail Blouse,next,top,brightturquoise,313 RON,,https://www.next.ro/en/style/su983643/g39425,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G39425s.jpg,2025-01-01
softSummer,Love & Roses Lace Trim Button Through Top,next,top,dustyrose,253 RON,,https://www.next.ro/en/style/su946053/g10994,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G10994s.jpg,2025-01-01
deepWinter,Love & Roses Lace Trim Button Through Top,next,top,sapphireblue,253 RON,,https://www.next.ro/en/style/su946053/w06017,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W06017s.jpg,2025-01-01
lightSpring,Friends Like These Draped Off The Shoulder Top (Cream/Ivory),next,top,ivory,238 RON,,https://www.next.ro/ro/style/su998079/w05896,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W05896s.jpg,2025-01-02
brightWinter,Friends Like These Draped Off The Shoulder Top (Black),next,top,trueblack,238 RON,,https://www.next.ro/ro/style/su721640/f03355,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/F03355s.jpg,2025-01-02
coolSummer,Friends Like These Draped Off The Shoulder Top (Light Blue),next,top,powderblue,238 RON,,https://www.next.ro/ro/style/su721640/v10797,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V10797s.jpg,2025-01-02
deepAutumn,Friends Like These Draped Off The Shoulder Top (Chocolate Brown),next,top,chocolate,238 RON,,https://www.next.ro/ro/style/su721640/h70700,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/H70700s.jpg,2025-01-02
deepAutumn,Friends Like These Draped Off The Shoulder Top (Burgundy),next,top,burgundy,238 RON,,https://www.next.ro/ro/style/su721640/w95506,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W95506s.jpg,2025-01-03
lightSpring,"Love & Roses Floral Print Bardot Top (Light Pink, Light Blue)",next,top,blush,253 RON,219 RON,https://www.next.ro/ro/style/su955348/g58545,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G58545s.jpg,2025-01-03
lightSpring,"Love & Roses Floral Print Short Sleeve Blouse (Light Pink, Light Yellow)",next,top,butter,290 RON,203 RON,https://www.next.ro/ro/style/su891350/y29360,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y29360s.jpg,2025-01-03
brightWinter,Lipsy 3/4 Sleeve Embroidered Grandad Blouse (White),next,top,icywhite,313 RON,,https://www.next.ro/ro/style/su901245/g12289,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G12289s.jpg,2025-01-04
warmSpring,Lipsy 3/4 Sleeve Embroidered Grandad Blouse (Orange),next,top,mango,313 RON,,https://www.next.ro/ro/style/su901245/y36116,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y36116s.jpg,2025-01-04
brightWinter,Lipsy 3/4 Sleeve Embroidered Grandad Blouse (Pink),next,top,hotpink,313 RON,,https://www.next.ro/ro/style/su901245/337050,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/337050s.jpg,2025-01-04
brightSpring,Lipsy 3/4 Sleeve Embroidered Grandad Blouse (Red),next,top,brighttomato,313 RON,219 RON,https://www.next.ro/ro/style/su901245/v25556,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V25556s.jpg,2025-01-04
warmSpring,Sosandar Chiffon Draped Shell Top (Coral),next,top,coral,358 RON,338 RON,https://www.next.ro/ro/style/su870619/y23130,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y23130s.jpg,2025-01-05
lightSummer,Sosandar Chiffon Draped Shell Top (Light Blue),next,top,powderblue,358 RON,,https://www.next.ro/ro/style/su870619/v12030,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V12030s.jpg,2025-01-05
